RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_BEGIN_DE_FROM_ERA
53341209,20250707,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,충청남도,천안시,모름,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만,20250622
53341329,20250707,10만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,고양시,혼자서,2박 3일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300만원 미만,20250411
53341590,20250707,20~30만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,안산시,모름,2박 3일,F,40대,기혼,자녀 성장(막내 중고생),전업주부,700만원 이상,20250606
53342147,20250707,20~30만원 미만,5~7만원 미만,10만원 이상,1~3만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,충청남도,보령시,5명 이상,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만,20250509
53342209,20250707,모름,모름,모름,모름,모름,모름,모름,강원도,강릉시/삼척시,5명 이상,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,300~500만원 미만,20250606
53342452,20250707,20~30만원 미만,1만원 미만,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,3~5만원 미만,강원도,태백시,2명,1박 2일,F,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20250412
53342511,20250707,모름,모름,모름,모름,모름,모름,모름,충청남도,서천군,5명 이상,2박 3일,M,50대,미혼,미혼,자영업,모름,20250425
53342871,20250707,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,강원도,강릉시/속초시,2명,2박 3일,F,50대,미혼,미혼,사무/기술직,300~500만원 미만,20250414
53343143,20250707,모름,모름,모름,모름,모름,모름,모름,충청남도,홍성군,5명 이상,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,300~500만원 미만,20250628
53343416,20250707,20~30만원 미만,10만원 이상,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,충청북도,괴산군,모름,2박 3일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상,20250704
53343482,20250707,10~20만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,충청남도,예산군,5명 이상,1박 2일,M,40대,미혼,미혼,기능/숙련/일반작업직,모름,20250628
53343756,20250707,10~20만원 미만,1~3만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,충청남도,보령시,모름,1박 2일,F,40대,미혼,미혼,사무/기술직,300~500만원 미만,20250704
53343764,20250707,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,제주도,애월읍,2명,2박 3일,M,40대,미혼,미혼,사무/기술직,300~500만원 미만,20250606
53344715,20250707,20~30만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,남해군,2명,3박 4일,F,40대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상,20250625
53344902,20250707,10~20만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,하동군,5명 이상,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상,20250704
53346019,20250707,모름,모름,모름,모름,모름,모름,모름,울산시,모름,3명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만,20250628
53346179,20250707,10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,1만원 미만,3~5만원 미만,1만원 미만,서울시,모름,5명 이상,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만,20250430
53346263,20250707,모름,모름,모름,모름,모름,모름,모름,울산시,모름,5명 이상,1박 2일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만,20250621
53346317,20250707,모름,모름,모름,모름,모름,모름,모름,충청남도,부여군,3명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),판매/서비스직,500~700만원 미만,20250524
53346883,20250707,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,경기도,광명시,4명,1박 2일,F,50대,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만,20250430
53346997,20250707,20~30만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,광주시,모름,2명,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),사무/기술직,모름,20250404
53347208,20250707,10~20만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,경상남도,하동군,모름,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상,20250524
53347369,20250707,40만원 이상,10만원 이상,10만원 이상,3~5만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,전라북도,고창군/군산시,모름,2박 3일,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,300~500만원 미만,20250613
53347382,20250707,모름,모름,모름,모름,모름,모름,모름,전라남도,보성군/완도군,5명 이상,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,20250429
53347386,20250707,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,제주도,구좌읍/성산읍/애월읍/제주시(시내동)/표선면,4명,3박 4일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20250521
