RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_STYLE_SCOPE
53326500,202506,M,40대,경기도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53326511,202506,M,30대,서울특별시,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
53326520,202506,M,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53326521,202506,F,60대,충청남도(세종시 포함),300만원 미만,개별 여행,개별 여행,True,True,국내+해외
53326571,202506,F,50대,경기도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53326589,202506,M,50대,강원도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53326610,202506,M,50대,대구광역시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53326642,202506,F,40대,전라북도,모름,개별 여행,여행경험없음,True,False,국내만
53326647,202506,F,40대,인천광역시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53326727,202506,M,60대,서울특별시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53326729,202506,F,50대,울산광역시,700만원 이상,여행경험없음,단체 패키지 여행,False,True,해외만
53326747,202506,M,60대,충청남도(세종시 포함),300이상500만원 미만,개별 여행,개별 여행,True,True,국내+해외
53326770,202506,M,20대,경기도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53326805,202506,M,50대,경기도,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53326866,202506,F,60대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53326899,202506,M,50대,경기도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53326912,202506,F,30대,경기도,모름,여행경험없음,개별 여행,False,True,해외만
53326926,202506,F,50대,경기도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53326935,202506,M,60대,부산광역시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53326969,202506,F,50대,경상남도,모름,단체 패키지 여행,단체 패키지 여행,True,True,국내+해외
53326999,202506,M,50대,경기도,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53327001,202506,F,30대,서울특별시,모름,여행경험없음,개별 여행,False,True,해외만
53327052,202506,M,30대,전라북도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53327058,202506,M,30대,부산광역시,500이상700만원 미만,여행경험없음,개별 여행,False,True,해외만
53327194,202506,F,20대,부산광역시,모름,개별 여행,여행경험없음,True,False,국내만
53327224,202506,M,30대,충청북도,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53327236,202506,M,60대,경기도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
