row_id,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,weight
629,경상남도,거제시,1.0
630,경기도,고양시,1.0
631,강원도,강릉시,0.14285714285714285
631,강원도,고성군,0.14285714285714285
631,강원도,속초시,0.14285714285714285
631,강원도,원주시,0.14285714285714285
631,강원도,평창군,0.14285714285714285
631,강원도,홍천군,0.14285714285714285
631,강원도,횡성군,0.14285714285714285
632,강원도,원주시,0.5
632,강원도,평창군,0.5
633,경기도,여주시,1.0
634,경상북도,문경시,1.0
635,경상남도,거제시,1.0
636,경상남도,남해군,1.0
637,전라남도,목포시,1.0
639,충청남도,보령시,1.0
640,강원도,홍천군,1.0
642,강원도,원주시,1.0
645,강원도,강릉시,1.0
646,충청북도,제천시,1.0
647,강원도,동해시,0.5
647,강원도,평창군,0.5
648,충청남도,서산시,1.0
649,전라남도,순천시,0.5
649,전라남도,진도군,0.5
650,경상북도,청송군,1.0
651,경상북도,포항시,1.0
653,전라북도,남원시,1.0
655,경상북도,경주시,1.0
656,충청북도,괴산군,1.0
657,강원도,속초시,1.0
658,전라남도,고흥군,0.3333333333333333
658,전라남도,담양군,0.3333333333333333
658,전라남도,보성군,0.3333333333333333
659,경기도,평택시,1.0
660,강원도,강릉시,1.0
661,강원도,고성군,1.0
663,전라남도,여수시,1.0
667,경상남도,밀양시,1.0
668,경상남도,하동군,1.0
669,경상북도,안동시,1.0
671,충청남도,아산시,1.0
672,강원도,홍천군,1.0
674,경상북도,경주시,1.0
675,충청북도,옥천군,1.0
677,제주도,구좌읍,0.5
677,제주도,서귀포시(시내동),0.5
678,경기도,안양시,0.5
678,경기도,의왕시,0.5
679,제주도,서귀포시(시내동),0.25
679,제주도,성산읍,0.25
679,제주도,애월읍,0.25
679,제주도,한림읍,0.25
680,강원도,강릉시,0.3333333333333333
680,강원도,삼척시,0.3333333333333333
680,강원도,양양군,0.3333333333333333
681,제주도,남원읍,0.5
681,제주도,서귀포시(시내동),0.5
682,경상북도,포항시,1.0
683,강원도,강릉시,0.07142857142857142
683,강원도,고성군,0.07142857142857142
683,강원도,동해시,0.07142857142857142
683,강원도,삼척시,0.07142857142857142
683,강원도,속초시,0.07142857142857142
